quanta_author,quanta_pub_date,quanta_title,number_arxiv_links
['Thomas Lewton'],2021-10-12,The Astronomer Who’s About to See the Skies of Other Earths,0
['Jordana Cepelewicz'],2019-07-10,How Swarming Insects Act Like Fluids,0
['Jordana Cepelewicz'],2018-03-07,Oxygen and Stem Cells May Have Reshaped Early Complex Animals,0
['Mordechai Rorvig'],2022-05-23,How Computer Scientists Learned to Reinvent the Proof,0
['Jennifer Ouellette'],2018-07-30,A Math Theory for Why People Hallucinate,0
['Steve Nadis'],2021-04-26,New Proof Reveals That Graphs With No Pentagons Are Fundamentally Different,3
['Veronique Greenwood'],2022-01-18,Neural Noise Shows the Uncertainty of Our Memories,0
['Erica Klarreich'],2020-08-03,Landmark Math Proof Clears Hurdle in Top Erdős Conjecture,2
['Kevin Hartnett'],2017-09-12,Mathematicians Measure Infinities and Find They’re Equal,0
['Ben Brubaker'],2023-03-02,Cryptographers Show How to Hide Invisible Backdoors in AI,2
"[""Jonathan O'Callaghan""]",2021-01-27,‘Unicorn’ Discovery Points to a New Population of Black Holes,1
['Jeanette Kazmierczak'],2016-09-09,Responding Rapidly to Big Discoveries,0
['Steven Strogatz'],2022-04-06,Why Knots Matter in Math and Science,0
['Sheon Han'],2022-05-17,Computing Expert Says Programmers Need More Math,0
[],2017-07-17,Eva Silverstein’s Spirals and Strings,1
['Joshua Sokol'],2019-05-20,The Hidden Heroines of Chaos,0
['Steve Nadis'],2023-02-07,Researchers Discover a More Flexible Approach to Machine Learning,1
['Anil Ananthaswamy'],2020-10-28,Deep Neural Networks Help to Explain Living Brains,0
['Emily Singer'],2016-08-23,The Neuroscience Behind Bad Decisions,0
['Kevin Hartnett'],2017-12-07,Mathematicians Crack the Cursed Curve,1
['Leila Sloman'],2022-07-14,Hypergraphs Reveal Solution to 50-Year-Old Problem,2
['Thomas Lin'],2018-11-21,Quanta Writers and Editors Discuss Trends in Science and Math,0
['Natalie Wolchover'],2018-10-11,Famous Experiment Dooms Alternative to Quantum Weirdness,0
['Jeanette Kazmierczak'],2016-06-14,Have Physicists Discovered a New Boson?,1
['Emily Singer'],2016-06-29,New Lizard Shows Evolution’s Predictability,0
['Charlie Wood'],2022-02-07,Quantum Complexity Tamed by Machine Learning,1
['Jordana Cepelewicz'],2019-02-07,Artificial Intelligence Finds Ancient ‘Ghosts’ in Modern DNA,0
['Leila Sloman'],2022-08-15,A Numerical Mystery From the 19th Century Finally Gets Solved,0
['Viviane Callier'],2019-04-15,"Viruses Have a Secret, Altruistic Social Life",0
['Erica Klarreich'],2017-09-22,Moonshine Link Discovered for Pariah Symmetries,3
['Katia Moskvitch'],2018-02-07,The Argument Against Quantum Computers,2
['Steven Strogatz'],2023-03-22,Is There Math Beyond the Equal Sign?,0
"[""Jonathan O'Callaghan""]",2022-07-25,"Two Weeks In, the Webb Space Telescope Is Reshaping Astronomy",5
['Claudia Dreifus'],2023-02-13,She Studies Growing Arteries to Aid Heart Attack Recovery,0
['Natalie Wolchover'],2016-05-05,Janna Levin’s Theory of Doing Everything,1
['Pradeep Mutalik'],2018-11-09,Solution: ‘How Equality and Inequality Shape Birds and Bees’,0
['Allison Whitten'],2021-08-03,Galois Groups and the Symmetries of Polynomials,0
['Jordana Cepelewicz'],2018-09-27,‘Traffic Jams’ of Cells Help to Sculpt Embryos,0
['Tara C. Smith'],2017-12-05,What Bacteria Can Tell Us About Human Evolution,0
['Katia Moskvitch'],2018-04-02,Quantum Correlations Reverse Thermodynamic Arrow of Time,2
['Natalie Wolchover'],2021-07-15,How Many Numbers Exist? Infinity Proof Moves Math Closer to an Answer.,0
['Jordana Cepelewicz'],2018-06-06,Overtaxed Working Memory Knocks the Brain Out of Sync,0
['Rebecca Boyle'],2018-10-04,Planets Found to Be Larger Than the Disks They Come From,2
['Robin George Andrews'],2022-04-13,Scientists Unravel How the Tonga Volcano Caused Worldwide Tsunamis,0
['Pradeep Mutalik'],2021-10-27,Where Transcendental Numbers Hide in Everyday Math,0
['Pradeep Mutalik'],2016-11-09,Why (Almost) Everyone Was Wrong,0
['Emily Singer'],2014-05-06,"In Bees, a Hunt for Roots of Social Behavior",0
['Kevin Hartnett'],2021-07-16,A Video Tour of the Standard Model,0
['Joshua Sokol'],2016-09-27,Strange Dark Galaxy Puzzles Astrophysicists,3
['Steven Strogatz'],2022-03-22,Why Do We Die Without Sleep?,0
['Philip Ball'],2019-06-05,"Quantum Leaps, Long Assumed to Be Instantaneous, Take Time",0
['Jennifer Ouellette'],2015-04-28,How Quantum Pairs Stitch Space-Time,3
['Katherine Harmon Courage'],2020-03-09,Machine Learning Takes On Antibiotic Resistance,0
['Elizabeth Svoboda'],2017-12-14,Light-Triggered Genes Reveal the Hidden Workings of Memory,0
['Natalie Wolchover'],2019-02-21,How Our Universe Could Emerge as a Hologram,3
['Natalie Wolchover'],2016-07-28,Neutrinos Hint of Matter-Antimatter Rift,0
['Pradeep Mutalik'],2019-07-26,Puzzle Solution: Magic Moiré in Twisted Graphene,0
['Joanna Thompson'],2022-07-01,Life Helps Make Almost Half of All Minerals,0
['Pradeep Mutalik'],2018-04-05,How the DNA Computer Program Makes You and Me,0
['Jordana Cepelewicz'],2018-01-30,"In Birds’ Songs, Brains and Genes, He Finds Clues to Speech",0
['Philip Ball'],2019-02-13,Mysterious Quantum Rule Reconstructed From Scratch,4
['Jordana Cepelewicz'],2022-04-25,Elegant Six-Page Proof Reveals the Emergence of Random Structure,2
['Peter Byrne'],2015-01-22,Quantum Computing Without Qubits,0
['Natalie Wolchover'],2019-02-04,An Astrophysicist Who Maps the Universe’s Terra Incognita,0
['Charlie Wood'],2023-02-22,Physicists Use Quantum Mechanics to Pull Energy out of Nothing,4
['Natalie Wolchover'],2015-10-20,Theorists Draw Closer to Perfect Coloring,1
['Natalie Wolchover'],2016-08-11,New Measurement Deepens Proton Puzzle,1
['Erica Klarreich'],2018-10-08,Graduate Student Solves Quantum Verification Problem,5
['Viviane Callier'],2019-05-21,Viruses Can Scatter Their Genes Among Cells and Reassemble,0
['Pradeep Mutalik'],2019-05-16,Solution: ‘The Bulldogs That Bulldogs Fight’,0
['Robbert Dijkgraaf'],2019-05-07,The Subtle Art of the Mathematical Conjecture,0
['Rebecca Boyle'],2018-12-18,The Woman Who Gets Called When a Piece of Mars Falls From the Sky,0
['Kevin Hartnett'],2020-04-28,Math After COVID-19,0
['Kevin Hartnett'],2019-01-31,Foundations Built for a General Theory of Neural Networks,2
['Kevin Hartnett'],2018-07-31,Major Quantum Computing Advance Made Obsolete by Teenager,2
['Charlie Wood'],2022-05-10,‘Machine Scientists’ Distill the Laws of Physics From Raw Data,6
['Jordana Cepelewicz'],2021-10-04,Medicine Nobel Prize Goes to Temperature and Touch Discoveries,0
['Jordana Cepelewicz'],2019-07-01,"Where We See Shapes, AI Sees Textures",0
['Erica Klarreich'],2014-01-30,Perfecting the Art of Sensible Nonsense,0
['Jordana Cepelewicz'],2021-01-28,The Hard Lessons of Modeling the Coronavirus Pandemic,1
['Siobhan Roberts'],2016-03-03,Michael Atiyah’s Imaginative State of Mind,0
['Jake Buehler'],2023-03-30,How a DNA ‘Parasite’ May Have Fragmented Our Genes,0
['Pradeep Mutalik'],2015-10-08,How to Create Art With Mathematics,0
['Ben Brubaker'],2021-07-20,How Bell’s Theorem Proved ‘Spooky Action at a Distance’ Is Real,0
['Howard Lee'],2020-03-19,Sudden Ancient Global Warming Event Traced to Magma Flood,0
['Charlie Wood'],2021-12-13,Cosmologists Parry Attacks on the Vaunted Cosmological Principle,2
['Kevin Hartnett'],2018-12-19,Milestone Experiment Proves Quantum Communication Really Is Faster,1
['Steve Nadis'],2020-09-10,Mathematicians Open a New Front on an Ancient Number Problem,1
['Leila Sloman'],2022-12-05,Infinite Patterns Appear In Numbers Described as Moving Systems,4
['Thomas Lin'],2018-08-23,"The Universal Pattern Popping Up in Math, Physics and Biology",0
['Thomas Lin'],2015-04-02,"After Prime Proof, an Unlikely Star Rises",0
['Pradeep Mutalik'],2015-07-30,The Slippery Eel of Probability,1
['Pradeep Mutalik'],2016-11-11,The Devil in the Polling Data,0
['Jennifer Ouellette'],2012-12-21,Alice and Bob Meet the Wall of Fire,3
['Natalie Wolchover'],2019-08-08,Cosmologists Debate How Fast the Universe Is Expanding,6
['Philip Ball'],2021-09-16,Biologists Rethink the Logic Behind Cells’ Molecular Signals,0
['Karmela Padavic-Callaghan'],2021-08-12,Physicists Create a Bizarre ‘Wigner Crystal’ Made Purely of Electrons,0
['Erica Klarreich'],2013-01-29,Computer Scientists Take Road Less Traveled,1
['Kevin Hartnett'],2016-09-20,Hacker-Proof Code Confirmed,0
['Kevin Hartnett'],2019-12-11,Mathematician Proves Huge Result on ‘Dangerous’ Problem,2
['Natalie Wolchover'],2018-03-12,Why the Tiny Weight of Empty Space Is Such a Huge Mystery,1
['Patrick Honner'],2020-05-07,"To Win This Numbers Game, Learn to Avoid Math Patterns",0
['Elizabeth Preston'],2018-07-02,Salamander’s Genome Guards Secrets of Limb Regrowth,0
['Erica Klarreich'],2023-03-27,Emmy Murphy Is a Mathematician Who Finds Beauty in Flexibility,0
['Jordana Cepelewicz'],2021-03-22,Chasing the Elusive Numbers That Define Epidemics,0
['Jordana Cepelewicz'],2019-03-13,The Math That Tells Cells What They Are,0
['Natalie Wolchover'],2014-12-04,A Common Logic to Seeing Cats and Cosmos,2
['Kelsey Houston-Edwards'],2021-05-11,How Mathematicians Use Homology to Make Sense of Topology,0
['Gabriel Popkin'],2015-10-13,A Twisted Path to Equation-Free Prediction,0
['Natalie Wolchover'],2017-04-27,A Cosmic-Ray Hunter Takes to the Sky,2
['Mordechai Rorvig'],2022-07-18,Computer Science Proof Lifts Limits on Quantum Entanglement,2
[],2016-10-11,The Art of Teaching Math and Science,0
['Peter Byrne'],2013-05-24,Waiting for the Revolution,1
['Jordana Cepelewicz'],2022-03-16,"Before Brains, Mechanics May Have Ruled Animal Behavior",3
['Joshua Sokol'],2022-09-20,How Do Fireflies Flash in Sync? Studies Suggest a New Answer.,0
['Jordana Cepelewicz'],2019-02-12,How the Brain Creates a Timeline of the Past,0
['Ashley Yeager'],2017-05-19,Discoveries Fuel Fight Over Universe’s First Light,2
['Thomas Lewton'],2022-08-23,What Drives Galaxies? The Milky Way’s Black Hole May Be the Key.,4
['Matthew Hutson'],2019-11-06,Computers Evolve a New Path Toward Human Intelligence,4
['Katie McCormick'],2023-02-27,Strange Solar Gamma Rays Discovered at Even Higher Energies,1
['Carrie Arnold'],2014-06-04,Evolving With a Little Help From Our Friends,0
['Stephen Ornes'],2020-05-20,Symbolic Mathematics Finally Yields to Neural Networks,1
['Marcus Woo'],2019-01-24,A Child’s Puzzle Has Helped Unlock the Secrets of Magnetism,0
['Viviane Callier'],2018-11-08,Theorists Debate How ‘Neutral’ Evolution Really Is,0
"[""Susan D'Agostino""]",2020-08-17,Math of the Penguins,0
['Leila Sloman'],2022-03-07,"In New Math Proofs, Artificial Intelligence Plays to Win",2
['Anil Ananthaswamy'],2021-04-19,Latest Neural Nets Solve World’s Hardest Equations Faster Than Ever Before,3
['Ariel Bleicher'],2018-02-01,Quantum Computers Struggle Against Classical Algorithms,10
['Patrick Honner'],2020-11-18,Some Math Problems Seem Impossible. That Can Be a Good Thing.,0
[],2017-07-10,"Subhash Khot, Playing Unique Games in Washington Square Park",0
['Kevin Hartnett'],2020-04-08,"Graced With Knowledge, Mathematicians Seek to Understand",1
['Thomas Lin'],2018-11-14,How Holography Could Help Solve Quantum Gravity,0
['Kevin Hartnett'],2020-08-26,Computer Scientists Attempt to Corner the Collatz Conjecture,2
['Ben Brubaker'],2023-01-25,The Computer Scientist Who Finds Life Lessons in Board Games,1
['Natalie Wolchover'],2016-08-22,Supersymmetry Bet Settled With Cognac,0
['Pradeep Mutalik'],2021-08-25,"Math Can, in Theory, Help You Escape a Hungry Bear",0
['Pradeep Mutalik'],2015-10-30,Solution: ‘Creating Art With Mathematics’,0
['Veronique Greenwood'],2017-02-14,Researchers Tap a Sleep Switch in the Brain,0
['Stephen Ornes'],2021-11-11,A New Theory for Systems That Defy Newton’s Third Law,0
['Kevin Hartnett'],2017-10-11,Visionary Mathematician Vladimir Voevodsky Dies at 51,0
['Katie McCormick'],2022-08-01,Particle Physicists Puzzle Over a New Duality,0
['Claudia Dreifus'],2019-05-15,"In Ecology Studies and Selfless Ants, He Finds Hope for the Future",0
['Viviane Callier'],2022-06-03,Brain-Signal Proteins Evolved Before Animals Did,0
['Thomas Lewton'],2021-10-28,Is the Great Neutrino Puzzle Pointing to Multiple Missing Particles?,10
['Elena Renken'],2019-10-30,"Perceptions of Musical Octaves Are Learned, Not Wired in the Brain",0
['Natalie Wolchover'],2015-02-18,"In Fake Universes, Evidence for String Theory",4
['Veronique Greenwood'],2019-11-26,Longevity Linked to Proteins That Calm Overexcited Neurons,0
['Kevin Hartnett'],2017-02-02,"To Live Your Best Life, Do Mathematics",0
['Natalie Wolchover'],2018-08-30,The New Science of Seeing Around Corners,0
['Charlie Wood'],2019-11-27,Top Dark Matter Candidate Loses Ground to Tiniest Competitor,1
['Carl Zimmer'],2013-07-16,The Surprising Origins of Life’s Complexity,0
['Kevin Hartnett'],2016-08-02,A Unified Theory of Randomness,4
['Marcus Woo'],2019-10-15,How the Neutrino’s Tiny Mass Could Help Solve Big Mysteries,3
['Philip Ball'],2018-06-25,Real-Life Schrödinger’s Cats Probe the Boundary of the Quantum World,2
['Kelsey Houston-Edwards'],2021-05-25,Mathematicians Find Long-Sought Building Blocks for Special Polynomials,1
['Natalie Wolchover'],2016-02-02,Scientists Debate Signatures of Alien Life,0
['Natalie Wolchover'],2016-02-18,From Einstein’s Theory to Gravity’s Chirp,1
['Leila Sloman'],2022-06-23,New Proof Shows When Structure Must Emerge in Graphs,1
['Pradeep Mutalik'],2016-12-02,Solution: ‘Hanging Far Out Over the Edge’,0
['John Pavlus'],2019-07-11,Curious About Consciousness? Ask the Self-Aware Machines,0
['Charlie Wood'],2020-11-23,The Search for Dark Matter Is Dramatically Expanding,3
['Natalie Wolchover'],2017-08-03,Scientists Unveil New Inventory of Universe’s Dark Contents,1
['Natalie Wolchover'],2018-01-31,How the Universe Got Its Bounce Back,5
['Natalie Wolchover'],2014-04-16,Time’s Arrow Traced to Quantum Source,3
['Pradeep Mutalik'],2016-01-29,Solution: ‘Sleeping Beauty’s Dilemma’,1
['Joshua Sokol'],2018-11-28,A Universal Law for the ‘Blood of the Earth’,0
['Jennifer Ouellette'],2015-06-23,The Fuzzball Fix for a Black Hole Paradox,1
['Natalie Wolchover'],2016-07-08,A Quasicrystal’s Shocking Origin,0
['John Rennie'],2017-06-07,Sylvia Earle Is Not Done Exploring,0
['Pradeep Mutalik'],2022-02-22,"Play First and Lose: Zugzwang in Chess, Math and Pizzas",0
['Philip Ball'],2021-09-29,Major Quantum Computing Strategy Suffers Serious Setbacks,1
['Charlie Wood'],2018-08-22,Black Hole Firewalls Could Be Too Tepid to Burn,0
['Joshua Sokol'],2016-12-20,"In the Deep, a Drive to Find Dark Matter",0
['Jordana Cepelewicz'],2018-04-26,"Cell by Cell, Scientists Map the Genetic Steps as Eggs Become Animals",0
['John Rennie'],2018-05-22,How Brain Waves Surf Sound Waves to Process Speech,0
['Dan Falk'],2016-07-19,A Debate Over the Physics of Time,3
['Jordana Cepelewicz'],2020-09-24,Reasons Revealed for the Brain’s Elastic Sense of Time,0
['Kevin Hartnett'],2021-10-26,How Tadayuki Watanabe Disproved a Major Conjecture About Spheres,3
['Natalie Wolchover'],2015-01-30,Joint Dust Analysis Deflates Big Bang Signal,2
['Sheon Han'],2022-10-11,How to Prove You Know a Secret Without Giving It Away,0
['Kevin Hartnett'],2019-04-11,Mathematicians Discover the Perfect Way to Multiply,1
['Charlie Wood'],2020-06-24,The Cartoon Picture of Magnets That Has Transformed Science,1
['Anil Ananthaswamy'],2020-12-03,A New Theorem Maps Out the Limits of Quantum Physics,0
['Elizabeth Landau'],2019-11-11,Virginia Trimble Has Seen the Stars,1
['Pradeep Mutalik'],2017-06-08,Bongard Problems and Scientific Discovery,0
['Emily Singer'],2013-06-04,A New Approach to Building the Tree of Life,0
['Allison Whitten'],2021-10-18,Neuron Bursts Can Mimic Famous AI Learning Strategy,0
['Liz Kruesi'],2020-04-22,Why Are Black Holes So Bright?,0
['Natalie Wolchover'],2015-09-22,Visions of Future Physics,1
['Kevin Hartnett'],2015-12-21,Hope Rekindled for Perplexing Proof,0
['Erica Klarreich'],2021-04-12,Mathematician Disproves 80-Year-Old Algebra Conjecture,3
['Kevin Hartnett'],2017-12-01,Secret Link Uncovered Between Pure Math and Physics,0
['Carrie Arnold'],2014-07-10,Hints of Life’s Start Found in a Giant Virus,0
['Patrick Honner'],2021-09-23,The Simple Math Behind the Mighty Roots of Unity,0
['Thomas Lin'],2020-12-23,Our Favorite Online Comments of 2020,0
['Emily Singer'],2014-04-09,The Remarkable Self-Organization of Ants,0
['Leila Sloman'],2022-11-09,Cryptography’s Future Will Be Quantum-Safe. Here’s How It Will Work.,1
['Nick Thieme'],2022-03-15,Machine Learning Reimagines the Building Blocks of Computing,5
['Kevin Hartnett'],2017-01-03,3-D Fractals Offer Clues to Complex Systems,1
['Thomas Lewton'],2021-07-26,"The ‘Weirdest’ Matter, Made of Partial Particles, Defies Description",1
['Natalie Wolchover'],2018-06-01,Evidence Found for a New Fundamental Particle,1
['Patrick Honner'],2017-10-12,The Math Behind Gerrymandering and Wasted Votes,0
['Viviane Callier'],2022-06-28,Protein Blobs Linked to Alzheimer’s Affect Aging in All Cells,0
['Alexander Hellemans'],2021-10-13,How Wavelets Allow Researchers to Transform — and Understand — Data,0
['Kevin Hartnett'],2020-03-31,Mathematics as a Team Sport,0
['Kevin Hartnett'],2020-02-19,Rainbow Proof Shows Graphs Have Uniform Parts,2
['Jordana Cepelewicz'],2019-10-07,Nobel Awarded for Discoveries on How Cells Adapt to Oxygen,0
"[""Jonathan O'Callaghan""]",2022-10-26,Brightest-Ever Space Explosion Could Help Explain Dark Matter,2
['Jennifer Ouellette'],2014-11-10,Multiverse Collisions May Dot the Sky,0
['Esther Landhuis'],2021-11-02,Her Machine Learning Tools Pull Insights From Cell Images,0
['Natalie Wolchover'],2015-05-14,The Particle That Broke a Cosmic Speed Limit,3
['Marta Zaraska'],2023-02-28,How Loneliness Reshapes the Brain,0
['George Musser'],2020-10-29,The Black Hole Information Paradox Comes to an End,16
['Steve Nadis'],2021-11-17,The Mathematician Who Delights in Building Bridges,1
['Jordana Cepelewicz'],2021-08-09,Animals Can Count and Use Zero. How Far Does Their Number Sense Go?,0
['Patrick Honner'],2023-01-23,The Basic Algebra Behind Secret Codes and Space Communication,0
[],2022-10-19,"Inside the Proton, the ‘Most Complicated Thing’ Imaginable",2
['Emily Singer'],2016-03-17,"In Warm, Greasy Puddles, the Spark of Life?",0
['Emily Singer'],2014-01-02,A Missing Genetic Link in Human Evolution,0
['Kevin Hartnett'],2021-03-23,Matrix Multiplication Inches Closer to Mythic Goal,2
['Shannon Hall'],2019-04-08,The Scientist Who Cooks Up the Skies of Faraway Worlds,0
['Steven Strogatz'],2019-04-03,Usain Bolt’s Split Times and the Power of Calculus,0
['Natalie Wolchover'],2017-09-21,New Theory Cracks Open the Black Box of Deep Learning,5
['Max Kozlov'],2021-05-12,Scientists Catch Jumping Genes Rewiring Genomes,0
['Maggie McKee'],2016-12-08,On a Hunt for a Ghost of a Particle,0
['Erica Klarreich'],2020-11-10,Computer Scientists Achieve ‘Crown Jewel’ of Cryptography,0
['John Rennie'],2019-12-23,The Year in Biology,0
['Max G. Levy'],2021-02-16,The Coach Who Led the U.S. Math Team Back to the Top,0
['Joshua Sokol'],2018-05-21,Stellar Disks Reveal How Planets Get Made,3
['Pradeep Mutalik'],2016-02-09,The Problem With Dancing Shapes,0
['Patrick Honner'],2022-07-21,How Can Infinitely Many Primes Be Infinitely Far Apart?,0
['Kevin Hartnett'],2021-05-19,Mathematicians Answer Old Question About Odd Graphs #separator_sa #site_title,1
['Charlie Wood'],2022-03-16,Icy Antimatter Experiment Surprises Physicists,0
['Jordana Cepelewicz'],2022-06-06,Graduate Student’s Side Project Proves Prime Number Conjecture,1
['Carrie Arnold'],2018-05-02,Cells Talk in a Language That Looks Like Viruses,0
['Thomas Lewton'],2020-04-27,What Might Be Speeding Up the Universe’s Expansion?,4
['Katie McCormick'],2021-12-08,Gravitational Waves Should Permanently Distort Space-Time,0
['Erica Klarreich'],2022-10-06,‘Monumental’ Math Proof Solves Triple Bubble Problem and More,1
['Shannon Hall'],2018-08-28,"To Understand Volcanoes on Other Worlds, Stand On Our Own",0
['Natalie Wolchover'],2018-04-12,Trouble Detected in Infamous Dark Matter Signal,2
['Erica Klarreich'],2023-01-19,Mathematicians Roll Dice and Get Rock-Paper-Scissors,5
['John Pavlus'],2021-07-14,The Computer Scientist Training AI to Think With Analogies,4
['Elena Renken'],2022-03-28,Cells Blaze Their Own Trails to Navigate Through the Body,1
['Viviane Callier'],2020-04-09,Where Do New Genes Come From?,0
['Charlie Wood'],2021-05-04,How Gravity Is a Double Copy of Other Forces,1
['John Pavlus'],2019-07-24,His Artificial Intelligence Sees Inside Living Cells,1
['Charlie Wood'],2020-06-29,Cosmic Rays May Explain Life’s Bias for Right-Handed DNA,0
['Jordana Cepelewicz'],2018-02-06,"With Strategic Zaps to the Brain, Scientists Boost Memory",0
['Erika K. Carlson'],2019-08-15,"To Make Two Black Holes Collide, Try Three",1
['Viviane Callier'],2021-11-04,Sponge Genes Hint at the Origins of Neurons and Other Cells,0
['Tara C. Smith'],2021-02-25,How to Understand COVID-19 Variants and Their Effects on Vaccines,0
['Chanda Prescod-Weinstein'],2019-08-22,Ann Nelson Took On the Biggest Problems in Physics,5
['Pradeep Mutalik'],2022-10-25,How to Win at Wordle (Without Cheating),0
['John Pavlus'],2015-09-29,A New Map Traces the Limits of Computation,3
['Charlie Wood'],2020-08-04,Big Bounce Simulations Challenge the Big Bang,4
['Pradeep Mutalik'],2017-07-28,Solution: ‘Why Are There Two Sexes?’,0
['Jordana Cepelewicz'],2019-09-16,"Origin-of-Life Study Points to Chemical Chimeras, Not RNA",0
['Charlie Wood'],2020-08-20,The Mathematical Structure of Particle Collisions Comes Into View,1
['Pradeep Mutalik'],2018-10-17,How Equality and Inequality Shape the Birds and the Bees,0
['Jeanette Kazmierczak'],2016-07-11,Hope That an Old Drug Might Treat Zika,0
[],2017-11-06,From the Edge of the Universe to the Inside of a Proton,0
['John Pavlus'],2020-06-03,A Digital Locksmith Has Decoded Biology’s Molecular Keys,0
['Kevin Hartnett'],2018-04-09,Mathematicians Explore Mirror Link Between Two Geometric Worlds,2
['Kelsey Houston-Edwards'],2020-10-19,An Infinite Universe of Number Systems,0
['Veronique Greenwood'],2021-05-18,Sleep Evolved Before Brains. Hydras Are Living Proof.,0
['Emily Singer'],2014-09-11,Evolution’s Random Paths Lead to One Place,0
['Natalie Wolchover'],2022-11-30,Physicists Create a Holographic Wormhole Using a Quantum Computer,9
['Jeanette Kazmierczak'],2016-06-21,How to Grow Metal-Eating Microbes,0
['Kevin Hartnett'],2021-06-24,Nathan Seiberg on How Math Might Complete the Ultimate Physics Theory,0
['Jordana Cepelewicz'],2017-12-13,"New Bird Species Arises From Hybrids, as Scientists Watch",0
['Allison Whitten'],2021-07-08,Mathematicians Prove Symmetry of Phase Transitions,2
['Jordana Cepelewicz'],2020-07-06,How Your Heart Influences What You Perceive and Fear,0
['Natalie Wolchover'],2021-05-20,Physicists Identify the Engine Powering Black Hole Energy Beams,2
['Robbert Dijkgraaf'],2020-11-24,Contemplating the End of Physics,0
['Ben Brubaker'],2022-01-26,How the Physics of Resonance Shapes Reality,0
['Pradeep Mutalik'],2021-11-24,"Why <i>e</i>, the Transcendental Math Constant, Is Just the Best",0
['Dana Najjar'],2020-02-20,‘Radical Change’ Needed After Latest Neutron Star Collision,1
[],2017-08-28,Jason Morgan Recalls Discovering Earth’s Tectonic Plates,0
['Viviane Callier'],2021-01-20,Plant Cells of Different Species Can Swap Organelles,0
['Natalie Wolchover'],2016-06-22,The Universe Is Not a Snowflake,0
['Raleigh McElvery'],2018-08-16,‘Functional Fingerprint’ May Identify Brains Over a Lifetime,0
['Katia Moskvitch'],2017-10-16,Neutron-Star Collision Shakes Space-Time and Lights Up the Sky,0
['Jordana Cepelewicz'],2018-02-27,A Statistical Search for Genomic Truths,0
['Stephanie Bucklin'],2016-11-03,A Conductor of Evolution’s Subtle Symphony,0
['Puja Changoiwala'],2020-06-23,Why South Asia’s COVID-19 Numbers Are So Low (For Now),0
['Kevin Hartnett'],2019-03-05,The Universe’s Ultimate Complexity Revealed by Simple Quantum Games,2
['Kevin Hartnett'],2017-05-30,A Puzzle of Clever Connections Nears a Happy End,0
['Kevin Hartnett'],2021-02-02,Tetrahedron Solutions Finally Proved Decades After Computer Search,1
['Elena Renken'],2021-04-28,A Backdoor Lets the Immune System Monitor the Brain,0
['Charlie Wood'],2019-07-30,Physicists Peer Inside a Fireball of Quantum Matter,0
['Jordana Cepelewicz'],2021-06-21,Secret Workings of Smell Receptors Revealed for First Time,0
['Kevin Hartnett'],2023-02-15,"To Teach Computers Math, Researchers Merge AI Approaches",2
['Pradeep Mutalik'],2017-11-09,How to Triumph and Cooperate in Game Theory and Evolution,0
"[""Jonathan O'Callaghan""]",2023-01-30,Astronomers Say They Have Spotted the Universe’s First Stars,2
['Yasemin Saplakoglu'],2023-01-17,Mobile Genes From the Mother Shape the Baby’s Microbiome,0
['Philip Ball'],2022-05-26,Physicists Trace the Rise in Entropy to Quantum Information,0
['Natalie Wolchover'],2015-07-02,Paradoxical Crystal Baffles Physicists,1
['R. Douglas Fields'],2022-07-28,Neuronal Scaffolding Plays Unexpected Role in Chronic Pain,0
['Howard Lee'],2020-07-21,How Earth’s Climate Changes Naturally (and Why Things Are Different Now),0
['Pradeep Mutalik'],2016-09-30,Solution: ‘Time Through an LCD Display’,1
['Joshua Sokol'],2018-06-27,Mathematicians Tame Turbulence in Flattened Fluids,4
['Kevin Hartnett'],2017-08-08,New Shapes Solve Infinite Pool-Table Problem,0
['Esther Landhuis'],2021-11-08,The Brain Can Recall and Reawaken Past Immune Responses,0
['Dana Najjar'],2020-05-18,Egg Laying or Live Birth: How Evolution Chooses,0
['Pradeep Mutalik'],2019-04-17,The Bulldogs That Bulldogs Fight,0
['Patrick Honner'],2021-05-06,How to Solve Equations That Are Stubborn as a Goat,0
['Steven Strogatz'],2022-04-20,Why Is Inflammation a Dangerous Necessity?,0
['Kevin Hartnett'],2016-11-23,How to Force Our Machines to Play Fair,1
['Alex Kontorovich'],2021-01-04,How I Learned to Love and Fear the Riemann Hypothesis,1
['Erica Klarreich'],2016-10-07,All Is Not Fair in Cake-Cutting and Math,1
[],2017-06-15,"Roberto Peccei and Helen Quinn, Driving Around Stanford in a Clunky Jeep",0
['Charlie Wood'],2020-10-14,Room-Temperature Superconductivity Achieved for the First Time,0
['Liz Kruesi'],2018-10-24,Prepping for a Flood of Heavenly Bodies,0
['Pradeep Mutalik'],2019-06-20,"When Magic Is Seen in Twisted Graphene, That’s a Moiré",0
['Adam Becker'],2021-09-07,One Lab’s Quest to Build Space-Time Out of Quantum Particles,8
['Charlie Wood'],2022-04-07,Fermilab Says Particle Is Heavy Enough to Break the Standard Model,3
['Lakshmi Chandrasekaran'],2021-09-14,How Ancient War Trickery Is Alive in Math Today,0
['Joshua Sokol'],2022-11-03,A Dream of Discovering Alien Life Finds New Hope,3
['Natalie Wolchover'],2021-02-24,Decades-Long Quest Reveals Details of the Proton’s Inner Antimatter,1
['Sabine Hossenfelder'],2018-01-08,Why an Old Theory of Everything Is Gaining New Life,2
